ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Children,Total_Spend,Total_Purchases,Customer_Tenure_Days,Age_Band,Income_Band,Customer_Segment
342199,1985,Graduation,Together,59011.7,1,0,2012-11-17,3,0,2,45,6,0,16,3,2,5,3,4,0,0,0,0,0,0,0,Spain,40,1,69,10,4807,40-49,High,Family Customer
8075450,1975,Master,Single,1730.0,1,1,2013-04-10,96,0,0,19,1,19,0,1,1,0,2,3,0,0,0,0,0,0,0,Spain,50,2,39,3,4663,50-59,Low,Family Customer
13664263,1978,Graduation,Married,98584.6,0,0,2014-01-11,99,920,0,339,0,115,138,3,2,1,6,3,0,0,0,0,0,0,0,Australia,47,0,1512,9,4387,40-49,Very High,High Income
16164787,1976,Graduation,Married,74031.5,1,0,2014-06-18,47,265,0,130,7,1,75,1,4,0,11,4,0,0,0,0,0,0,0,Spain,49,1,478,15,4229,40-49,High,Family Customer
15815139,1981,Graduation,Divorced,52784.2,1,1,2014-05-20,0,30,3,55,242,0,0,1,3,2,3,6,0,0,0,0,0,0,0,Canada,44,2,330,8,4258,40-49,Mid,High Web Engagement
7194200,1977,2n Cycle,Married,36353.5,1,0,2014-03-28,99,0,0,61,7,6,58,2,1,7,2,4,0,0,0,0,0,0,0,Canada,48,1,132,10,4311,40-49,Mid,Family Customer
2330269,1960,Basic,Divorced,111080.3,0,0,2013-08-05,14,152,68,225,259,20,119,0,4,4,6,2,0,0,0,0,0,0,0,Germany,65,0,843,14,4546,60-69,Very High,High Income
12076936,1996,PhD,Divorced,55986.3,1,1,2014-02-16,52,80,0,16,0,0,2,1,4,0,6,4,0,0,0,0,0,0,0,India,29,2,98,10,4351,18-29,Mid,Family Customer
13223357,1964,Master,Single,67793.7,1,0,2013-01-28,11,5,0,47,14,0,25,1,3,1,4,4,0,0,0,0,0,0,0,Saudi Arabia,61,1,91,8,4735,60-69,High,Family Customer
7068405,1968,Graduation,Together,54240.7,1,1,2014-06-29,69,87,3,42,0,89,30,1,3,0,0,0,0,0,0,1,0,0,0,USA,57,2,251,3,4218,50-59,Mid,Family Customer
1558456,1952,Master,Single,32002.2,1,0,2014-05-23,69,0,0,24,4,0,100,4,1,4,1,5,0,0,0,0,0,0,0,Spain,73,1,128,6,4255,70+,Mid,Family Customer
923176,1965,Master,Together,104661.2,0,1,2014-05-28,30,1493,10,348,179,5,74,4,3,2,6,8,0,0,0,0,0,0,0,Germany,60,1,2109,11,4250,60-69,Very High,High Spender
1271145,1975,Graduation,Together,56809.4,0,0,2014-06-16,97,94,0,43,24,1,18,1,13,0,1,4,0,0,0,0,0,0,0,Canada,50,0,180,14,4231,50-59,Mid,Standard Customer
15615168,1953,Graduation,Single,35168.0,1,0,2013-10-03,97,223,0,55,0,5,18,1,2,2,3,0,0,0,0,0,0,0,0,Canada,72,1,301,7,4487,70+,Mid,Family Customer
34723,1964,PhD,YOLO,26397.9,1,1,2014-02-10,19,42,0,36,0,0,0,1,2,0,3,5,0,0,0,0,0,0,0,Canada,61,2,78,5,4357,60-69,Low,Family Customer
9974730,1952,Master,Married,105437.3,0,0,2013-11-11,19,483,0,752,144,6,30,3,6,6,4,7,0,1,0,0,0,1,0,Australia,73,0,1415,16,4448,70+,Very High,High Income
13780787,1940,PhD,Divorced,69746.9,1,1,2012-08-21,72,17,0,51,37,0,3,6,1,0,5,6,0,0,0,0,0,0,0,Saudi Arabia,85,2,108,6,4895,70+,High,High Web Engagement
2275327,1966,PhD,Single,103586.0,0,0,2013-04-11,57,805,13,647,40,15,47,1,0,6,6,3,0,0,0,0,0,1,0,Spain,59,0,1567,12,4662,50-59,Very High,High Spender
9413456,1979,Graduation,Alone,47610.5,0,0,2014-06-28,70,103,21,58,179,135,140,1,6,2,6,2,0,1,0,0,0,0,0,Australia,46,0,636,14,4219,40-49,Mid,Standard Customer
2968257,1977,PhD,Together,1730.0,1,0,2014-03-28,99,13,0,43,0,2,10,3,7,0,4,7,0,0,0,0,0,0,0,India,48,1,68,11,4311,40-49,Low,High Web Engagement
13545753,1982,Master,Together,101718.5,0,0,2012-08-18,20,190,17,33,34,129,34,3,10,6,7,0,0,0,0,1,0,0,0,Spain,43,0,437,23,4898,40-49,Very High,High Income
7322177,1965,PhD,Single,1730.0,0,0,2012-12-27,99,0,0,110,0,0,0,1,2,3,2,7,0,0,0,0,0,0,0,Spain,60,0,110,7,4767,60-69,Low,High Web Engagement
943046,1959,PhD,Together,105458.3,1,1,2013-09-01,5,776,16,212,61,0,71,1,13,1,12,4,0,0,0,1,0,0,0,Spain,66,2,1136,26,4519,60-69,Very High,High Income
9006929,1984,Basic,Single,33032.9,1,1,2012-12-22,99,40,0,52,4,0,16,3,4,1,1,8,0,0,0,0,0,0,0,Spain,41,2,112,6,4772,40-49,Mid,High Web Engagement
16663364,1961,Basic,Widow,16379.1,0,0,2012-07-30,38,259,0,45,10,0,86,1,2,11,6,4,0,0,0,0,0,0,0,Germany,64,0,400,19,4917,60-69,Low,Standard Customer
10295988,1995,PhD,Together,1730.0,1,1,2014-06-29,33,0,0,42,0,0,0,3,1,0,0,8,0,0,0,0,0,0,0,India,30,2,42,1,4218,30-39,Low,High Web Engagement
5194720,1961,Master,Together,20301.5,0,0,2014-03-03,99,38,0,353,42,1,66,1,4,1,10,0,0,0,0,0,0,0,0,Spain,64,0,500,15,4336,60-69,Low,Standard Customer
8471865,1965,Master,Single,107008.0,0,0,2013-05-10,18,33,8,230,137,44,30,1,3,1,6,0,0,1,0,0,0,0,0,Spain,60,0,482,10,4633,60-69,Very High,High Income
13912972,1960,Graduation,Married,90351.9,0,0,2013-01-17,99,368,0,1152,14,169,20,1,5,5,5,6,1,0,0,0,0,1,0,Canada,65,0,1723,15,4746,60-69,Very High,High Spender
13815974,1977,PhD,Divorced,33658.6,1,1,2013-12-10,86,0,0,48,0,0,24,5,4,0,5,4,0,0,0,0,0,0,0,Saudi Arabia,48,2,72,9,4419,40-49,Mid,Family Customer
9754902,1956,Master,Married,65172.4,0,0,2014-06-25,76,480,0,1142,229,3,5,3,4,3,3,8,0,0,0,1,0,0,0,Spain,69,0,1859,10,4222,60-69,High,High Spender
6167587,1966,Graduation,Together,105043.4,1,0,2013-03-23,99,356,0,1073,5,22,269,1,3,11,5,0,0,0,0,0,0,0,0,USA,59,1,1725,19,4681,50-59,Very High,High Spender
15145895,1982,PhD,Divorced,92441.0,0,1,2013-01-02,93,82,46,405,114,0,9,4,4,3,9,7,0,0,0,0,0,1,0,India,43,1,656,16,4761,40-49,Very High,High Income
3275751,1960,PhD,Single,33326.9,1,0,2014-04-18,86,35,0,58,5,0,0,1,3,7,10,5,0,0,0,0,0,1,0,Spain,65,1,98,20,4290,60-69,Mid,Campaign Responder
3620143,1987,Master,Together,107197.9,0,0,2013-09-20,41,420,174,1015,42,66,21,1,4,4,4,5,0,0,0,0,0,0,0,Australia,38,0,1738,12,4500,30-39,Very High,High Spender
16235636,1969,Graduation,Single,29877.5,0,0,2013-12-09,25,483,0,56,2,0,28,0,4,3,7,6,0,0,0,0,0,0,0,Germany,56,0,569,14,4420,50-59,Mid,High Web Engagement
7142362,1984,Master,Married,14761.9,0,0,2014-06-20,96,44,0,62,0,3,22,1,3,2,3,8,0,0,0,0,0,0,0,Australia,41,0,131,8,4227,40-49,Low,High Web Engagement
622010,1964,Master,Together,21109.4,1,0,2014-05-07,80,0,0,42,2,0,3,3,3,1,3,7,0,0,0,0,0,0,0,Spain,61,1,47,7,4271,60-69,Low,High Web Engagement
15626087,1966,PhD,Divorced,84247.4,0,1,2013-06-03,89,614,0,45,1,67,194,3,2,5,7,5,0,0,0,0,0,0,0,Saudi Arabia,59,1,921,14,4609,50-59,High,High Income
16438440,1983,PhD,Together,99387.4,1,0,2012-08-18,17,91,28,1225,211,5,16,1,3,6,7,0,0,0,0,1,0,0,0,Canada,42,1,1576,16,4898,40-49,Very High,High Spender
11796404,1987,PhD,Alone,24586.5,1,0,2013-08-16,59,36,0,18,0,0,0,4,1,1,3,7,0,0,0,0,0,0,0,Saudi Arabia,38,1,54,5,4535,30-39,Low,High Web Engagement
15398057,1965,Master,Married,79822.5,1,0,2014-02-20,14,436,0,169,10,18,13,1,5,4,3,2,0,0,0,0,0,0,0,India,60,1,646,12,4347,60-69,High,High Income
4842847,1977,2n Cycle,Together,1730.0,1,0,2012-10-20,96,0,0,53,2,0,0,1,3,1,3,6,0,0,0,0,0,0,0,Canada,48,1,55,7,4835,40-49,Low,High Web Engagement
11653033,1973,Graduation,Divorced,36180.3,1,1,2013-02-16,89,0,0,721,3,0,11,1,1,1,0,8,0,0,0,1,0,0,0,Canada,52,2,735,2,4716,50-59,Mid,High Web Engagement
5576961,1958,PhD,Divorced,18727.7,1,0,2013-02-08,91,34,5,226,44,1,0,1,7,2,4,6,0,0,0,0,0,0,0,Canada,67,1,310,13,4724,60-69,Low,High Web Engagement
14959473,1980,2n Cycle,Married,4537.8,1,0,2014-03-31,55,0,0,16,0,0,0,2,2,1,2,6,0,0,0,0,0,0,0,Saudi Arabia,45,1,16,5,4308,40-49,Low,High Web Engagement
7119290,1988,Basic,Single,10340.2,1,1,2012-11-10,91,0,0,24,8,0,0,1,4,0,7,10,0,0,0,0,0,0,0,Spain,37,2,32,11,4814,30-39,Low,High Web Engagement
4443100,1945,Master,Married,54018.1,0,0,2012-09-06,17,30,110,189,84,5,79,4,3,0,4,1,1,0,0,0,0,0,0,Spain,80,0,497,7,4879,70+,Mid,Standard Customer
12284547,1969,PhD,Widow,97141.3,0,2,2013-02-06,0,0,12,66,174,16,83,1,5,14,12,2,0,0,0,0,0,1,0,Canada,56,2,351,31,4726,50-59,Very High,High Income
13826586,1969,Graduation,Together,70143.9,0,2,2013-03-27,84,692,8,45,87,10,16,1,4,1,6,5,0,0,0,1,0,0,0,Canada,56,2,858,11,4677,50-59,High,Family Customer
1917384,1970,Master,Married,53161.0,1,0,2014-03-05,96,78,0,54,55,4,0,1,2,1,6,6,0,0,0,0,0,0,0,Australia,55,1,191,9,4334,50-59,Mid,High Web Engagement
9510493,1978,PhD,Divorced,90694.8,2,0,2014-06-04,14,516,0,370,177,3,62,1,1,1,3,8,0,0,0,0,0,1,0,India,47,2,1128,5,4243,40-49,Very High,High Income
6602036,1962,Graduation,Single,93759.1,0,1,2014-01-04,27,164,0,227,14,38,81,3,3,1,8,7,0,0,0,0,0,1,0,Saudi Arabia,63,1,524,12,4394,60-69,Very High,High Income
15452824,1995,PhD,Single,93350.4,0,0,2013-07-01,75,1493,0,574,100,140,210,2,3,3,8,8,0,0,0,1,0,1,0,India,30,0,2517,14,4581,30-39,Very High,High Spender
13341014,1973,Graduation,Married,77256.3,1,2,2013-12-11,87,273,24,956,103,33,40,1,4,11,4,8,0,1,0,0,0,0,0,India,52,3,1429,19,4418,50-59,High,High Income
9096076,1965,Graduation,Married,49802.8,1,0,2012-08-02,21,299,0,111,7,0,158,4,2,1,4,4,0,0,0,0,0,0,0,Saudi Arabia,60,1,575,7,4914,60-69,Mid,Family Customer
1135566,1971,PhD,Together,1730.0,1,1,2014-01-14,32,0,0,47,7,0,14,3,6,0,2,8,0,0,0,0,0,0,0,Saudi Arabia,54,2,68,8,4384,50-59,Low,High Web Engagement
11428767,1985,2n Cycle,Together,14060.3,1,1,2014-01-23,92,591,5,34,0,2,0,2,2,0,6,7,0,0,0,0,0,1,0,Canada,40,2,632,8,4375,40-49,Low,Campaign Responder
14983459,1989,Master,Married,91212.5,1,1,2013-08-02,89,61,6,361,88,3,0,1,6,2,5,8,0,0,0,0,0,1,0,Canada,36,2,519,13,4549,30-39,Very High,High Income
15464104,1967,PhD,Divorced,96840.7,0,0,2013-01-18,89,92,108,1121,126,0,7,2,6,0,3,2,0,0,0,0,0,0,0,India,58,0,1454,9,4745,50-59,Very High,High Income
9798566,1971,Graduation,Widow,48601.4,0,0,2013-05-09,99,345,5,700,155,0,132,1,3,10,7,4,0,0,0,0,0,1,0,Germany,54,0,1337,20,4634,50-59,Mid,Campaign Responder
13086942,1955,Master,Married,28431.4,1,0,2014-05-20,87,0,0,922,18,0,51,3,4,1,3,7,1,0,0,0,0,0,0,Australia,70,1,991,8,4258,70+,Mid,High Web Engagement
12115466,1984,Basic,Married,1730.0,1,1,2014-01-18,71,0,0,9,2,0,0,3,1,0,3,8,0,0,0,0,0,0,0,Spain,41,2,11,4,4380,40-49,Low,High Web Engagement
13187477,1967,PhD,Single,38453.9,0,0,2013-03-06,82,221,1,117,137,1,37,4,5,0,6,0,0,0,0,0,0,0,0,Australia,58,0,514,11,4698,50-59,Mid,Standard Customer
15154878,1978,Graduation,YOLO,99895.3,0,0,2012-12-06,68,270,0,39,25,73,11,3,12,1,6,3,1,0,0,0,0,1,0,Germany,47,0,418,19,4788,40-49,Very High,High Income
2100210,1987,Graduation,Widow,28821.2,1,0,2014-01-28,99,0,0,59,14,0,0,2,4,1,5,7,0,0,0,0,0,0,0,India,38,1,73,10,4370,30-39,Mid,High Web Engagement
11755920,1986,2n Cycle,Married,1730.0,1,0,2013-05-26,64,0,0,49,7,0,9,3,2,0,3,7,0,0,0,0,0,0,0,Spain,39,1,65,5,4617,30-39,Low,High Web Engagement
7248294,1973,Graduation,Married,1730.0,1,0,2014-03-15,99,0,0,0,0,135,7,1,2,1,5,8,0,1,0,0,0,0,0,Canada,52,1,142,8,4324,50-59,Low,High Web Engagement
82023,1974,Graduation,Single,110837.1,0,0,2013-09-25,25,790,10,679,219,46,19,1,5,5,12,7,0,0,0,0,0,1,0,Australia,51,0,1763,22,4495,50-59,Very High,High Spender
11834004,1979,Graduation,Together,90054.8,0,1,2013-01-22,99,93,55,391,75,208,19,1,4,5,9,4,0,0,0,0,0,1,1,USA,46,1,841,18,4741,40-49,Very High,High Income
12933809,1958,Basic,Married,12631.3,1,1,2014-01-01,14,0,108,45,25,66,45,1,2,2,5,6,0,0,0,0,0,0,0,Spain,67,2,289,9,4397,60-69,Low,High Web Engagement
10460549,1969,Graduation,Together,16223.2,1,0,2013-02-18,95,36,0,394,0,5,16,1,4,0,0,7,0,0,0,0,0,0,0,Spain,56,1,451,4,4714,50-59,Low,High Web Engagement
15560129,1961,Graduation,Married,10925.3,1,0,2013-02-10,87,0,0,17,11,0,0,2,2,1,4,3,0,0,0,0,0,0,0,USA,64,1,28,7,4722,60-69,Low,Family Customer
15304690,1957,Graduation,Divorced,79149.7,0,0,2014-05-05,60,1123,0,695,91,7,109,1,9,2,4,8,1,0,0,0,0,0,0,India,68,0,2025,15,4273,60-69,High,High Spender
2924623,1965,PhD,Married,24683.2,1,1,2013-12-11,99,16,3,37,0,0,112,1,4,0,6,8,0,0,0,0,0,0,0,Saudi Arabia,60,2,168,10,4418,60-69,Low,High Web Engagement
167125,1986,PhD,Divorced,92978.9,1,1,2014-06-29,41,0,6,117,47,55,60,1,8,0,10,3,0,0,0,0,0,0,0,Saudi Arabia,39,2,285,18,4218,30-39,Very High,High Income
9860620,1978,Graduation,Divorced,36236.5,0,0,2012-11-09,16,0,0,45,13,6,47,3,2,0,1,8,0,0,0,0,0,0,0,Spain,47,0,111,3,4815,40-49,Mid,High Web Engagement
1056015,1975,Master,Widow,5772.1,0,0,2014-06-14,93,0,2,26,0,0,5,2,1,0,6,4,0,0,0,0,0,0,0,Canada,50,0,33,7,4233,50-59,Low,Standard Customer
14253993,1972,2n Cycle,Together,27030.3,1,0,2013-06-13,75,530,0,68,144,2,165,6,6,2,6,3,0,0,0,0,0,0,0,India,53,1,909,14,4599,50-59,Low,Family Customer
15635945,1993,Graduation,Single,101484.7,0,0,2013-10-03,89,0,24,559,2,209,12,2,4,8,8,5,0,0,0,0,0,0,0,Australia,32,0,806,20,4487,30-39,Very High,High Income
